model,best_score,params
GCN,0.43537414965986393,"{'gcn_hidden_size': 64, 'lstm_hidden_size': 128, 'embed_dim': 64, 'dropout': 0.1, 'lr': 0.005, 'weight_decay': 0.005, 'n_epochs': 100, 'threshold': 0.9, 'graph_columns': 'Years_studying_L2|Reinforced_section|Language_exposure|Reading_frequency'}"
GAT,0.41156462585034015,"{'embed_dim': 64, 'lstm_hidden_size': 64, 'gat_hidden_size': 128, 'gat_heads': 1, 'dropout': 0.0, 'lr': 0.005, 'weight_decay': 0.005, 'n_epochs': 100, 'threshold': 0.9, 'graph_columns': 'Years_studying_L2|Reinforced_section|Language_exposure|Reading_frequency'}"
