,model,lr,n_epochs,hidden_size,weight_decay,model_name,Test Accuracy,Test F1,max_depth,min_samples_split,min_samples_leaf,criterion,n_estimators,max_features,C,penalty,solver,max_iter,class_weight
49,MLP,0.1,500.0,128.0,0.01,MLP,0.3826530612244898,0.26549222464942107,,,,,,,,,,,
50,MLP,0.1,500.0,128.0,0.001,MLP,0.39285714285714285,0.24680850988786499,,,,,,,,,,,
51,MLP,0.1,500.0,256.0,0.1,MLP,0.3112244897959184,0.27683804290947145,,,,,,,,,,,
52,MLP,0.1,500.0,256.0,0.01,MLP,0.3979591836734694,0.24372634003940216,,,,,,,,,,,
53,MLP,0.1,500.0,256.0,0.001,MLP,0.37755102040816324,0.27989978997047166,,,,,,,,,,,
54,MLP,0.1,500.0,512.0,0.1,MLP,0.3622448979591837,0.272171277997365,,,,,,,,,,,
55,MLP,0.1,500.0,512.0,0.01,MLP,0.35714285714285715,0.234949224456008,,,,,,,,,,,
56,MLP,0.1,500.0,512.0,0.001,MLP,0.30612244897959184,0.18520423626806606,,,,,,,,,,,
57,MLP,0.1,500.0,1024.0,0.1,MLP,0.37755102040816324,0.23219806597434356,,,,,,,,,,,
58,MLP,0.1,500.0,1024.0,0.01,MLP,0.3673469387755102,0.2411218941017703,,,,,,,,,,,
59,MLP,0.1,500.0,1024.0,0.001,MLP,0.34183673469387754,0.24437866055513116,,,,,,,,,,,
60,MLP,0.01,50.0,64.0,0.1,MLP,0.3673469387755102,0.2397456834370116,,,,,,,,,,,
61,MLP,0.01,50.0,64.0,0.01,MLP,0.32142857142857145,0.18560606060606058,,,,,,,,,,,
62,MLP,0.01,50.0,64.0,0.001,MLP,0.3826530612244898,0.2574062923377992,,,,,,,,,,,
63,MLP,0.01,50.0,128.0,0.1,MLP,0.32142857142857145,0.2309594464518064,,,,,,,,,,,
64,MLP,0.01,50.0,128.0,0.01,MLP,0.33163265306122447,0.1984044193216855,,,,,,,,,,,
65,MLP,0.01,50.0,128.0,0.001,MLP,0.3673469387755102,0.27730837406644415,,,,,,,,,,,
66,MLP,0.01,50.0,256.0,0.1,MLP,0.44387755102040816,0.28181329089830065,,,,,,,,,,,
67,MLP,0.01,50.0,256.0,0.01,MLP,0.29591836734693877,0.21311946589888633,,,,,,,,,,,
68,MLP,0.01,50.0,256.0,0.001,MLP,0.33163265306122447,0.25204445858071817,,,,,,,,,,,
69,MLP,0.01,50.0,512.0,0.1,MLP,0.3469387755102041,0.2521577283020651,,,,,,,,,,,
70,MLP,0.01,50.0,512.0,0.01,MLP,0.4030612244897959,0.2559759081498212,,,,,,,,,,,
71,MLP,0.01,50.0,512.0,0.001,MLP,0.413265306122449,0.2662899203567664,,,,,,,,,,,
72,MLP,0.01,50.0,1024.0,0.1,MLP,0.3673469387755102,0.26379530337683915,,,,,,,,,,,
73,MLP,0.01,50.0,1024.0,0.01,MLP,0.4030612244897959,0.27331130300449885,,,,,,,,,,,
74,MLP,0.01,50.0,1024.0,0.001,MLP,0.35714285714285715,0.23629846855653303,,,,,,,,,,,
75,MLP,0.01,100.0,64.0,0.1,MLP,0.4030612244897959,0.294700356696094,,,,,,,,,,,
76,MLP,0.01,100.0,64.0,0.01,MLP,0.3469387755102041,0.26618656250235195,,,,,,,,,,,
77,MLP,0.01,100.0,64.0,0.001,MLP,0.336734693877551,0.22976060913242577,,,,,,,,,,,
78,MLP,0.01,100.0,128.0,0.1,MLP,0.39285714285714285,0.25993648703041133,,,,,,,,,,,
79,MLP,0.01,100.0,128.0,0.01,MLP,0.35714285714285715,0.23904177655467648,,,,,,,,,,,
80,MLP,0.01,100.0,128.0,0.001,MLP,0.35714285714285715,0.2594478231638365,,,,,,,,,,,
81,MLP,0.01,100.0,256.0,0.1,MLP,0.32142857142857145,0.28108612996333426,,,,,,,,,,,
82,MLP,0.01,100.0,256.0,0.01,MLP,0.33163265306122447,0.21439686618389606,,,,,,,,,,,
83,MLP,0.01,100.0,256.0,0.001,MLP,0.3979591836734694,0.27613190066210197,,,,,,,,,,,
84,MLP,0.01,100.0,512.0,0.1,MLP,0.3163265306122449,0.21497685455468218,,,,,,,,,,,
85,MLP,0.01,100.0,512.0,0.01,MLP,0.3520408163265306,0.2494899393775798,,,,,,,,,,,
86,MLP,0.01,100.0,512.0,0.001,MLP,0.37755102040816324,0.2702029652097369,,,,,,,,,,,
87,MLP,0.01,100.0,1024.0,0.1,MLP,0.3622448979591837,0.21396514283838228,,,,,,,,,,,
88,MLP,0.01,100.0,1024.0,0.01,MLP,0.336734693877551,0.28633937785640573,,,,,,,,,,,
89,MLP,0.01,100.0,1024.0,0.001,MLP,0.39285714285714285,0.2768749917673598,,,,,,,,,,,
90,MLP,0.01,200.0,64.0,0.1,MLP,0.39285714285714285,0.257367446192843,,,,,,,,,,,
91,MLP,0.01,200.0,64.0,0.01,MLP,0.35714285714285715,0.23487623532619992,,,,,,,,,,,
92,MLP,0.01,200.0,64.0,0.001,MLP,0.40816326530612246,0.3148351840736295,,,,,,,,,,,
93,MLP,0.01,200.0,128.0,0.1,MLP,0.37244897959183676,0.24792747371891874,,,,,,,,,,,
94,MLP,0.01,200.0,128.0,0.01,MLP,0.3520408163265306,0.2038759131872234,,,,,,,,,,,
95,MLP,0.01,200.0,128.0,0.001,MLP,0.42346938775510207,0.25082738293642165,,,,,,,,,,,
96,MLP,0.01,200.0,256.0,0.1,MLP,0.3520408163265306,0.26001121463077986,,,,,,,,,,,
97,MLP,0.01,200.0,256.0,0.01,MLP,0.33163265306122447,0.233263039613154,,,,,,,,,,,
98,MLP,0.01,200.0,256.0,0.001,MLP,0.3622448979591837,0.25422240519587547,,,,,,,,,,,
99,MLP,0.01,200.0,512.0,0.1,MLP,0.33163265306122447,0.1894625841994263,,,,,,,,,,,
