,model,lr,n_epochs,hidden_size,weight_decay,model_name,Test Accuracy,Test F1,max_depth,min_samples_split,min_samples_leaf,criterion,n_estimators,max_features,C,penalty,solver,max_iter,class_weight
48,MLP,0.005,500.0,192.0,0.005,MLP,0.35714285714285715,0.23250564948678157,,,,,,,,,,,
49,MLP,0.005,500.0,192.0,0.001,MLP,0.37244897959183676,0.29984844106981506,,,,,,,,,,,
50,MLP,0.005,500.0,192.0,0.0005,MLP,0.32142857142857145,0.22021808738721615,,,,,,,,,,,
51,MLP,0.005,500.0,256.0,0.005,MLP,0.32142857142857145,0.23484824213936983,,,,,,,,,,,
52,MLP,0.005,500.0,256.0,0.001,MLP,0.32142857142857145,0.19127416394448823,,,,,,,,,,,
53,MLP,0.005,500.0,256.0,0.0005,MLP,0.34183673469387754,0.2742114084796955,,,,,,,,,,,
54,MLP,0.005,500.0,384.0,0.005,MLP,0.3469387755102041,0.21261991782739484,,,,,,,,,,,
55,MLP,0.005,500.0,384.0,0.001,MLP,0.29081632653061223,0.2088203760935332,,,,,,,,,,,
56,MLP,0.005,500.0,384.0,0.0005,MLP,0.39285714285714285,0.23906047290228083,,,,,,,,,,,
57,MLP,0.005,500.0,512.0,0.005,MLP,0.3622448979591837,0.24355394137912778,,,,,,,,,,,
58,MLP,0.005,500.0,512.0,0.001,MLP,0.3520408163265306,0.20159683770148887,,,,,,,,,,,
59,MLP,0.005,500.0,512.0,0.0005,MLP,0.3469387755102041,0.21713564213564215,,,,,,,,,,,
60,MLP,0.001,100.0,128.0,0.005,MLP,0.40816326530612246,0.2627657149060906,,,,,,,,,,,
61,MLP,0.001,100.0,128.0,0.001,MLP,0.37244897959183676,0.28361533535760064,,,,,,,,,,,
62,MLP,0.001,100.0,128.0,0.0005,MLP,0.37244897959183676,0.19168482207697893,,,,,,,,,,,
63,MLP,0.001,100.0,192.0,0.005,MLP,0.4336734693877551,0.2683870726974175,,,,,,,,,,,
64,MLP,0.001,100.0,192.0,0.001,MLP,0.39285714285714285,0.2549408865198339,,,,,,,,,,,
65,MLP,0.001,100.0,192.0,0.0005,MLP,0.4489795918367347,0.26761128057827793,,,,,,,,,,,
66,MLP,0.001,100.0,256.0,0.005,MLP,0.4030612244897959,0.28006863554502426,,,,,,,,,,,
67,MLP,0.001,100.0,256.0,0.001,MLP,0.3673469387755102,0.22796591420702908,,,,,,,,,,,
68,MLP,0.001,100.0,256.0,0.0005,MLP,0.39285714285714285,0.199592394533571,,,,,,,,,,,
69,MLP,0.001,100.0,384.0,0.005,MLP,0.3520408163265306,0.2514541971438523,,,,,,,,,,,
70,MLP,0.001,100.0,384.0,0.001,MLP,0.33163265306122447,0.1671077491595121,,,,,,,,,,,
71,MLP,0.001,100.0,384.0,0.0005,MLP,0.3979591836734694,0.24724460322286404,,,,,,,,,,,
72,MLP,0.001,100.0,512.0,0.005,MLP,0.3673469387755102,0.2007296466973886,,,,,,,,,,,
73,MLP,0.001,100.0,512.0,0.001,MLP,0.40816326530612246,0.2478862775387105,,,,,,,,,,,
74,MLP,0.001,100.0,512.0,0.0005,MLP,0.37755102040816324,0.2670267073545762,,,,,,,,,,,
