Model Class,Model Name,Accuracy,RMSE,Band F1
linear,MLP,0.38979591836734695,1.0860901604998978,0.588265306122449
linear,DecisionTree,0.38418367346938775,1.1459778820389375,0.5683673469387756
linear,RandomForest,0.39183673469387753,1.0254416669147486,0.5969387755102041
linear,Logreg,0.40561224489795916,1.0355911256822534,0.6051020408163266
sequential,BiLSTM,0.33401015228426395,1.1591612581237458,0.5126903553299492
sequential,MHAttention,0.39593908629441626,0.9624946436662878,0.6472081218274112
graph,GCN,0.33095238095238094,1.132843031197762,0.513265306122449
graph,GAT,0.32414965986394556,1.1355420654088184,0.5139455782312925
mixed,BiLSTM_GAT_FC,0.3377551020408163,1.0849934950743905,0.5299319727891156
